Connor Bedard,Chicago,1,1,2023,C,Ca,Unknown
Juraj Slafkovsky,Montreal,1,1,2022,LW,Sk,Unknown
Owen Power,Buffalo,1,1,2021,D,Ca,Unknown
Alexis Lafrenière,NY Rangers,1,1,2020,LW,Ca,Unknown
Jack Hughes,New Jersey,1,1,2019,C,Us,Unknown
Rasmus Dahlin,Buffalo,1,1,2018,D,Se,Unknown
Nico Hischier,New Jersey,1,1,2017,C,Ch,Unknown
Auston Matthews,Toronto,1,1,2016,C,Us,Unknown
Connor McDavid,Edmonton,1,1,2015,C,Ca,Unknown
Aaron Ekblad,Florida,1,1,2014,D,Ca,Unknown
Nathan MacKinnon,Colorado,1,1,2013,C,Ca,Unknown
Nail Yakupov,Edmonton,1,1,2012,RW,Ru,Unknown
Ryan Nugent-Hopkins,Edmonton,1,1,2011,C,Ca,Unknown
Taylor Hall,Edmonton,1,1,2010,LW,Ca,Unknown
John Tavares,NY Islanders,1,1,2009,C,Ca,Unknown
Steven Stamkos,Tampa Bay,1,1,2008,C,Ca,Unknown
Patrick Kane,Chicago,1,1,2007,RW,Us,Unknown
Erik Johnson,St. Louis,1,1,2006,D,Us,Unknown
Sidney Crosby,Pittsburgh,1,1,2005,C,Ca,Unknown
Alex Ovechkin,Washington,1,1,2004,LW,Su,Unknown
Marc-André Fleury,Pittsburgh,1,1,2003,G,Ca,Unknown
Rick Nash,Columbus,1,1,2002,LW,Ca,Unknown
Ilya Kovalchuk,Atlanta,1,1,2001,LW,Su,Unknown
Rick DiPietro,NY Islanders,1,1,2000,G,Us,Unknown
Patrik Štefan,Atlanta,1,1,1999,C,Cs,Unknown
Vincent Lecavalier,Tampa Bay,1,1,1998,C,Ca,Unknown
Joe Thornton,Boston,1,1,1997,C,Ca,Unknown
Chris Phillips,Ottawa,1,1,1996,D,Ca,Unknown
Bryan Berard,Ottawa,1,1,1995,D,Us,Unknown
Ed Jovanovski,Florida,1,1,1994,D,Ca,Unknown
Alexandre Daigle,Ottawa,1,1,1993,C,Ca,Unknown
Roman Hamrlík,Tampa Bay,1,1,1992,D,Cs,Unknown
Eric Lindros,Quebec,1,1,1991,C,Ca,Unknown
Owen Nolan,Quebec,1,1,1990,RW,Gb,Unknown
Mats Sundin,Quebec,1,1,1989,C,Se,Unknown
Mike Modano,Minnesota,1,1,1988,C,Us,Unknown
Pierre Turgeon,Buffalo,1,1,1987,C,Ca,Unknown
Joe Murphy,Detroit,1,1,1986,RW,Ca,Unknown
Wendel Clark,Toronto,1,1,1985,LW,Ca,Unknown
Mario Lemieux,Pittsburgh,1,1,1984,C,Ca,Unknown
Brian Lawton,Minnesota,1,1,1983,LW,Us,Unknown
Gord Kluzak,Boston,1,1,1982,D,Ca,Unknown
Dale Hawerchuk,Winnipeg,1,1,1981,C,Ca,Unknown
Doug Wickenheiser,Montreal,1,1,1980,C,Ca,Unknown
Rob Ramage,Colorado,1,1,1979,D,Ca,Unknown
Bobby Smith,Minnesota,1,1,1978,C,Ca,Unknown
Dale McCourt,Detroit,1,1,1977,C,Ca,Unknown
Rick Green,Washington,1,1,1976,D,Ca,Unknown
